inquiry	in'kwaiəri	n.询问，打听；调查
toilet	tɔilit	n.厕所，盥洗室，浴室
oneself	wΛn'self	pron.自己；亲自
protest	prə'test,'prəutest	vt.&vi.&n.抗议
mutual	mju:tjuəl	a.相互的；共同的
poetry	pəuitri	n.诗，诗歌，诗作
outlook	aut-luk	n.观点，看法；展望
ladder	lædə	n.梯子，梯状物
phrase	freiz	n.短语；习惯用语
leisure	leʒə	n.空闲时间；悠闲
sketch	sketʃ	n.略图；速写；概略
illness	ilnis	n.病，疾病
museum	mju:'ziəm	n.博物馆；展览馆
lawyer	lɔ:jə	n.律师；法学家
publish	pΛbliʃ	vt.公布；发表；出版
parade	pə'reid	n.游行；检阅vi.游行
impress	im'pres,'impres	vt.给…深刻印象
overall	əuvərɔ:l	n.工装裤a.全面的
perform	pə'fɔ:m	vt.履行，执行；演出
rabbit	ræbit	n.兔子，野兔
depress	di'pres	vt.使沮丧按下降低[计算机]降低
cabinet	kæbinit	n.橱，柜；内阁
tractor	træktə	n.拖拉机；牵引车
natural	nætʃərəl	a.自然界的；天然的
explore	iks'plɔ:	vt.&vi.探险，探索
network	netwə:k	n.网状物；网络
surgery	sə:dʒəri	n.外科，外科手术
harbour	ha:bə	n.海港，港口vt.庇护
repair	ri'peə	vt.&n.修理，修补
steamer	sti:mə	n.轮船，汽船
plenty	plenti	n.丰富，充足，大量
tailor	teilə	n.裁缝vt.裁制衣服
compass	kΛmpəs	n.罗盘，指南针；圆规
slender	slendə	a.细长的；微薄的
ancient	einʃənt	a.古代的，古老的
feather	feðə	n.羽毛；翎毛；羽状物
disease	di'zi:z	n.病疾病病害弊端
fatigue	fə'ti:g	n.疲劳，劳累
tragedy	trædʒidi	n.悲剧；惨事，惨案
discard	'diskɑ:d,dis'kɑ:d	vt.丢弃抛弃遗弃vi.丢牌n.丢牌废牌
ninety	nainti	num.九十，九十个
million	miljən	num.百万n.许多
herself	hə:'self	pron.她自己；她亲自
remind	ri'maind	vt.提醒，使想起
organic	ɔ:'gænik	a.有机体的；器官的
defence	di'fens	n.防御防务辩护答辩
squeeze	skwi:z	vt.&vi.榨，挤；压榨
foreign	fɔrin	a.外国的；外来的
enforce	in'fɔ:s	vt.实施，执行；强制
reward	ri'wɔ:d	n.报答；报酬vt.报答
sample	sa:mpl	n.样品；实例，标本
contain	kən'tein	vt.包含，容纳；等于
statue	stætju:	n.塑像，雕像，铸像
gesture	dʒestʃə	n.姿势，手势；姿态
motive	məutiv	n.动机，目的
invite	in'vait	vt.邀请，聘请；招待
ashamed	ə'ʃeimd	a.惭愧(的)；羞耻(的)
jungle	dʒΛŋgl	n.丛林，密林，莽丛
mobile	məubail	a.运动的；流动的
neutral	nju:trəl	a.中立的；中性的
address	ə'dres	n.地址；演说；谈吐
nowhere	nəuhweə	ad.任何地方都不
outline	aut-lain	n.轮廓；略图；大纲
Mercury	mə:kjuri	n.水星
voltage	vaultidʒ	n.电压
retain	ri'tein	vt.保持，保留，保有
promote	prə'məut	vt.促进，发扬；提升
sweater	swetə	n.厚运动衫，毛线衫
sorrow	sɔrəu	n.悲痛，悲哀，悲伤
optical	ɔptikəl	a.眼的；光学的
soluble	sɔljubl	a.可溶的；可以解决的
regret	ri'gret	vt.懊悔；抱歉n.懊悔
length	leŋθ	n.长，长度；一段
beneath	bi'ni:θ	prep.在…下方
fearful	fiəful	a.害怕的，可怕的
partial	pa:ʃəl	a.部分的；不公平的
rotten	rɔtn	a.腐烂的，发臭的
gradual	grædjuəl	a.逐渐的；渐进的
loyalty	lɔiəlti	n.忠诚，忠心
solemn	sɔləm	a.庄严的；隆重的
mention	menʃən	vt.&n.提及，说起
eastern	i:stən	a.东方的；朝东的
journal	dʒə:nl	n.日报，杂志；日志
hundred	hΛndrid	num.百，百个n.许多
lately	leitli	ad.最近，不久前
correct	kə'rekt	a.正确的vt.纠正
temple	templ	n.圣堂，神殿，庙宇
outward	autwəd	a.外面的；向外的
outside	aut'said	n.外部；外表a.外部的
racial	reiʃəl	a.种族的，人种的
relief	ri'li:f	n.减轻；救济；援救
treaty	tri:ti	n.条约；协议，协定
endless	endlis	a.无止境的
glimpse	glimps	vt.瞥见n.一瞥，一看
Chinese	tʃai'ni:z	a.中国的n.中国人
connect	kə'nekt	vt.连接，连结；联系
mercury	mə:kjuri	n.水银，汞
missile	misail	n.发射物；导弹
stroke	strəuk	n.打，击；鸣声；中风vt.抚，摩，捋
scheme	ski:m	n.计划，规划；诡计
general	dʒenərəl	a.总的；一般的n.将军
strain	strein	vt.拉紧vi.尽力
virtue	və:tju:	n.善；美德；优点
advance	əd'va:ns	vi.前进；提高n.进展
railway	reilwei	n.铁路，铁道
believe	bi'li:v	vt.相信；认为
program	prəugræm	n.节目单；大纲；程序
output	autput	n.产量；输出量；输出
shriek	ʃri:k	vi.尖声喊叫n.尖叫声
conduct	kɔndəkt,kən'dΛkt	n.举止，行为；指导
careful	keəful	a.仔细的；细致的
immense	i'mens	a.巨大的；极好的
precise	pri'sais	a.精确的，准确的
mother	mΛðə	n.母亲，妈妈
polite	pə'lait	a.有礼貌的；有教养的
persist	pə:'sist	vi.坚持，固执；持续
illegal	i'li:gəl	a.不合法的，非法的
purpose	pə:pəs	n.目的；意图；效果
normal	nɔ:məli	a.正常的，普通的
educate	edju(:)keit	vt.教育；培养；训练
harmony	ha:məni	n.调合，协调，和谐
plough	plau	n.犁vt.&vi.犁，耕
myself	mai'self	pron.我自己；我亲自
exclude	iks'klu:d	vt.把…排除在外
regard	ri'ga:d	vt.把…看作；尊敬
curtain	kə:tn	n.帘，窗帘；幕(布)
balance	bæləns	vt.使平衡；称n.天平
dislike	dis'laik	vt.&n.不喜爱厌恶反感
mislead	mis'li:d	vt.使误入岐途
biology	bai'ɔlədʒi	n.生物学；生态学
chamber	tʃeimbə	n.会议室；房间；腔
laundry	lɔ:ndri	n.洗衣房，洗衣店
amongst	ə'mΛŋst	prep在…之中(=among)
version	və:ʃən	n.译文；说法；改写本
player	pleiə	n.游戏的人；比赛者
reading	ri:diŋ	n.读，阅读；读书
memory	meməri	n.记忆；回忆；存储
concept	kɔnsept	n.概念，观念，设想
citizen	sitizn	n.公民；市民，居民
produce	prə'dju:s,'prɔdju:s	vt.生产；产生；展现
project	prə'dʒekt,'prɔdʒekt	n.方案，工程vi.伸出
thrust	θrΛst	vt.插，刺n.插；讽刺
pigeon	pidʒin	n.鸽子
dispute	di'spju:t	vi.争论争执vt.争论质疑争夺抵抗n.争论争吵
uneasy	Λn'i:zi	a.心神不安的，忧虑的
popular	pɔpjulə	a.民众的；流行的
island	ailənd	n.岛，岛屿
enquire	in'kwaiə	vi.vt.询问
predict	pri'dikt	v.预言，预告，预测
purple	pə:pl	n.紫色a.紫的
insist	in'sist	vi.坚持；坚持要求
process	prəuses	n.过程；工序vt.加工
further	fə:ðə	ad.更远地a.更远的
between	bi'twi:n	prep.在…中间
physics	fiziks	n.物理学
scatter	skætə	vt.使消散；撒；散播
police	pə'li:s	n.警察；警察当局
please	pli:z	vt.使高兴，请vi.满意
pollute	pə'lju:t	vt.弄脏，污染，沾污
oppose	ə'pəuz	vt.反对；反抗
report	ri'pɔ:t	vt.&vi.报告；汇报
undergo	Λndə'gəu	vt.经历，经受，忍受
review	ri'vju:	vt.再检查n.复习
perfect	pə:fikt,'pə:fekt	a.完美的；完全的
obtain	əb'tein	vt.获得，得到，买到
insert	in'sə:t,'insə:t	vt.插入;嵌入;登载
secure	si'kjuə	a.安心的；安全的
British	britiʃ	a.不列颠的，英联邦的
farther	fa:ðə	ad.更远地a.更远的
crystal	kristl	n.水晶，结晶体；晶粒
reason	ri:zn	n.理由；理性vi.推理
suppose	sə'pəuz	vt.猜想；假定；让
lovely	lΛvli	a.可爱的；令人愉快的
whistle	wisl	n.口哨vi.吹口哨
outcome	autkəm	n.结果，后果，成果
account	ə'kaunt	n.记述；解释；帐目
medium	mi:djəm	n.媒质；中间a.中等的
radius	reidjəs	n.半径
factory	fæktəri	n.工厂，制造厂
Italian	i'tæljən	a.意大利的n.意大利人
fiction	fikʃən	n.小说；虚构，杜撰
modify	mɔdifai	vt.更改，修改；修饰
vessel	vesl	n.容器；船，飞船；管
comment	kɔment	n.评论，意见；注释
furnish	fə:niʃ	vt.供应，提供；装备
sulfur	sΛlfə	n.硫(磺)，硫黄
obvious	obviəs	a.明显的，显而易见的
enclose	in'kləuz	vt.围住，圈起；附上
potato	pəu'teitəu	n.马铃薯，土豆
severe	si'viə	a.严格的；严厉的
magnet	mægnit	n.磁铁，磁石，磁体
highway	haiwei	n.公路；大路
saddle	sædl	n.鞍子，马鞍
sticky	stiki	a.粘性的；胶粘的
revise	ri'vaiz	vt.修订，校订；修改
silver	silvə	n.银；银子；银器
blanket	blæŋkit	n.毛毯，毯子，羊毛毯
intense	in'tens	a.强烈的；紧张的
shower	ʃəuə,'ʃauə	n.阵雨；(一)阵；淋浴
combine	kəm'bain	vt.使结合；兼有
shield	ʃi:ld	n.盾；防护物vt.保护
manner	mænə	n.方式；态度；礼貌
ribbon	ribən	n.缎带，丝带；带
package	pækidʒ	n.包裹，包，捆
anxious	æŋkʃəs	a.忧虑的；渴望的
liberal	libərəl	a.心胸宽大的；慷慨的
harness	ha:nis	vt.治理n.马具，挽具
message	mesidʒ	n.信息，消息；启示
analyse	ænəlaiz	vt.分析，分解，解析
forward	fɔ:wəd	ad.向前；今后，往后
disable	dis'eibl	vt.使无能使伤残使...失去能力
inquire	in'kwaiə	vt.打听，询问；调查
primary	praiməri	a.最初的；基本的
jacket	dʒækit	n.短上衣，茄克衫
enquiry		n.询问
remain	ri'mein	vi.剩下，余留；保持
modest	mɔdist	a.有节制的；谦虚的
miracle	mirəkl	n.奇迹，令人惊奇的人
needle	ni:dl	n.针，缝补，编织针
metric	metrik	a.公制的，米制的
lesson	lesn	n.功课，课；课程
condemn	kən'dem	vt.谴责，指责；判刑
survey	sə:'vei	vt.俯瞰；检查；测量
baggage	bægidʒ	n.行李
jealous	dʒeləs	a.妒忌的；猜疑的
delight	di'lait	n.快乐快乐vt.使高兴vi.给与乐趣
locate	ləu'keit	vt.探明，找出，查出
listen	lisn	vi.听，留神听；听从
isolate	aisəleit	vt.使隔离，使孤立
launch	lɔ:ntʃ	vt.发射，投射；发动
holiday	hɔlədi	n.假日，节日；假期
possess	pə'zes	vt.占用，拥有(财产)
mostly	məustli	ad.主要的，大部分
failure	feiljə	n.失败；失败的人
collect	kə'lekt	vt.收集vi.收款
restore	ris'tɔ:	vt.恢复；归还；修补
uniform	ju:nifɔ:m	a.一样的n.制服
billion	biljən	num.万亿(英)
nervous	nə:vəs	a.神经的；易激动的
mineral	minərəl	n.矿物a.矿物的
qualify	kwɔlifai	vt.使具有资格
mistake	mis'teik	n.错误vi.误解，弄错
kingdom	kiŋdəm	n.王国；领域，界
similar	similə	a.相似的，类似的
deceive	di'si:v	vt.欺骗蒙蔽行骗vi.行骗
machine	mə'ʃi:n	n.机器；机械
October	ɔk'təubə	n.十月
supreme	sju:'pri:m	a.最高的；最大的
dictate	'dikteit,dik'teit	vt.&vi.口授命令听写n.命令指挥指令
market	ma:kit	n.市场；集市；销路
confine	kən'fain	vt.限制；禁闭
declare	di'klɛə	vt.&vi.断言声明表明宣布申报
pencil	pensl	n.铅笔
faculty	fækəlti	n.才能，能力；系，科
feature	fi:tʃə	n.特征，特色；面貌
explode	iks'pləud	vt.使爆炸vi.爆炸
tourist	tuərist	n.旅游者，观光者
musical	mju:zikəl	a.音乐的；和谐的
pursue	pə'sju:	vt.追赶，追踪；进行
cushion	kuʃən	n.垫子，坐垫，靠垫
capable	keipəbl	a.有能力的，有才能的
senate	senit	n.参议院，上院
clothes	kləuðz	n.衣服，服装；被褥
concern	kən'sə:n	n.关心，挂念；关系
person	pə:sn	n.人；人身；本人
scenery	si:nəri	n.舞台布景；风景
dispose	di'spəuz	vi.去掉丢掉销毁vt.倾向于处置
recent	ri:snt	a.新近的，最近的
o'clock	ə'klɔk	ad.…点钟
command	kə'ma:nd	vt.命令，指挥；控制
postman	pəustmən	n.邮递员
opinion	ə'pinjən	n.意见，看法，主张
percent	pə'sent	n.百分之…
painter	peintə	n.漆工，画家，绘画者
meeting	mi:tiŋ	n.聚集，会合，会见
shiver	ʃivə	vi.颤抖，哆嗦n.冷颤
unless	Λn'les	conj.除非，如果不
Monday	mΛndi	n.星期一
license	laisəns	n.许可；执照vt.准许
poverty	pɔvəti	n.贫穷，贫困
wander	wɔndə	vi.漫游；迷路；离题
discuss	di'skʌs	vt.讨论谈论论述
pillar	pilə	n.柱，柱子；栋梁
emperor	empərə	n.皇帝
evening	i:vniŋ	n.傍晚，黄昏，晚上
voyage	vɔidʒ	n.&vi.航海，航空字
scholar	skɔlə	n.学者(尤指文学方面)
pattern	pætən	n.型，式样，模，模型
largely	la:dʒli	ad.大部分；大量地
reverse	ri'və:s	vt.颠倒，翻转n.背面
conceal	kən'si:l	vt.把…隐藏起来
embrace	im'breis	vt.拥抱；包括；包围
examine	ig'zæmin	vt.检查，仔细观察
foolish	fu:liʃ	a.愚蠢的；鲁莽的
recall	ri'kɔ:l	vt.回想；叫回；收回
alcohol	ælkəhɔl	n.酒精，乙醇
volcano	vɔl'keinəu	n.火山
leading	li:diŋ	a.指导的；最主要的
welfare	welfeə	n.幸福，福利
funeral	fju:nərəl	n.葬礼，丧礼，丧葬
vacant	veikənt	a.空的；未被占用的
fortune	fɔ:tʃən	n.命运，运气；财产
remove	ri'mu:v	vt.移动，搬开；脱掉
oblige	ə'blaidʒ	vt.迫使；施恩惠于
muscle	mΛsl	n.肌肉，肌；体力
compute	kəm'pju:t	vt.计算，估计，估算
finance	fai'næns,fi-	n.财政，金融；财源
freedom	fri:dəm	n.自由；自主
refusal	ri'fju:zəl	n.拒绝
infant	infənt	n.婴儿a.婴儿的
permit	pə:'mit,'pə:mit	vt.允许n.执照
venture	ventʃə	n.&vi.冒险vt.敢于
consist	kən'sist	vi.由…组成；在于
native	neitiv	a.本土的n.本地人
profit	prɔfit	n.益处；利润vi.得益
modern	mɔdən	a.现代的，近代的
regular	regjulə	a.规则的；整齐的
helpful	helpful	a.给予帮助的；有用的
switch	switʃ	n.开关；转换vt.转换
revolt	ri'vəult	vi.&n.反抗，造反
gravity	græviti	n.重力，引力；严重性
minimum	miniməm	n.最小量a.最小的
partly	pa:tli	ad.部分地，不完全地
concert	kɔnsət	n.音乐会，演奏会
rocket	rɔkit	n.火箭，火箭发动机
measure	meʒə	vt.量，测量n.分量
himself	him'self	pron.他自己；他亲自
pillow	piləu	n.枕头
warmth	wɔ:mθ	n.暖和，温暖；热烈
article	a:tikl	n.条款；物品
weaken	wi:kən	vt.削弱vi.变弱
vacuum	vækjuəm	n.真空；真空吸尘器
likely	laikli	a.可能的ad.很可能
kitchen	kitʃin	n.厨房，灶间
require	ri'kwaiə	vt.需要；要求，命令
prison	prizn	n.监狱，监禁
meaning	mi:niŋ	n.意义，意思；意图
goodbye		int.再见，再会
manager	mænidʒə	n.经理，管理人
packet	pækit	n.小包(裹)，小捆
monitor	mɔnitə	n.班长；监视器
storage	stɔ:ridʒ	n.贮藏；贮藏量
nearly	niəli	ad.差不多；密切地
utmost	Λtməust	a.最远的n.极限
proceed	prə'si:d	vi.进行；继续进行
dialect	'daiəlekt	n.方言土语地方话
symbol	simbəl	n.象征；符号，记号
injury	indʒəri	n.损害，伤害；受伤处
disturb	dis'tə:b	vt.&vi.打扰扰乱弄乱妨碍使...不安
settle	setl	vt.安排；安放；调停
reflect	ri'flekt	vt.反射；反映；思考
wooden	wudn	a.木制的；呆板的
prevail	pri'veil	vi.胜，优胜；流行
middle	midl	n.中部a.中部的
parent	peərənt	n.父亲，母亲，双亲
awkward	ɔ:kwəd	a.笨拙的；尴尬的
nothing	nΛθiŋ	n.没有东西ad.毫不
edition	i'diʃən	n.版，版本，版次
liquor	likə	n.酒；溶液，液剂
nobody	nəubədi	pron.谁也不；无人
reject	ri'dʒekt	vt.拒绝；丢掉；驳回
typist	taipist	n.打字员
utilize	ju:tilaiz	vt.利用
saucer	sɔ:sə	n.茶托，浅碟
vitamin	vitəmin	n.维生素，维他命
conquer	kɔŋkə	vt.征服，战胜；破除
finally	fainəli	ad.最后；不可更改的
exhaust	ig'zɔ:st	vt.使筋疲力尽；用尽
instead	in'sted	ad.代替，顶替；反而
volume	vɔljum	n.卷，册；容积；音量
imitate	imiteit	vt.模仿，仿效；仿制
luxury	lΛkʃəri	n.奢侈，奢华；奢侈品
rainbow	reinbəu	n.虹，彩虹
itself	it'self	pron.它自己；自身
capture	kæptʃə	vt.捕获，俘获；夺得
biscuit	biskit	n.(英)饼干；(美)软饼
strange	streindʒ	a.陌生的；奇怪的
receipt	ri'si:t	n.收到；收条，收据
French	frentʃ	a.法国的n.法国人
narrow	nærəu	a.狭的，狭窄的
imagine	i'mædʒin	vt.想象，设想；料想
reform	ri'fɔ:m	vt.&n.改革，改良
passage	pæidʒ	n.通过；通路，通道
finding	faindiŋ	n.发现；调查的结果
luggage	lΛgidʒ	n.行李；皮箱，皮包
product	prɔdəkt	n.产品，产物；(乘)积
forgive	fə'giv	vt.原谅，饶恕，宽恕
execute	eksikju:t	vt.将…处死；实施
quarrel	kwɔrəl	n.争吵，吵架，口角
plastic	plæstik	a.可塑的n.塑料
display	di'splei	vt.陈列展览显示炫耀vt.显示表现夸示
variety	və'raiəti	n.多样化；种类；变种
resume	ri'zju:m	vt.恢复；重新开始
string	striŋ	n.线，细绳；一串
